Step,full_blending_py_nn_x_lp_50w,full_blending_py01_nn_xy2_lp_50w,full_blending_py0_nn_xy12_lp_50w,full_blending_p_nn_xy_lp_50w,full_blending_full_nn_none_lp_50w,full_blending_p_nn_xy_lp_50w_ppo
0,-0.240323384,-0.236368854,0.024633376,0.674277869,-0.686383432,0.654030783
1,-0.254322179,-0.243500786,0.023157293,0.67366002,-0.675087017,0.663867222
2,-0.251463123,-0.236598107,0.038042533,0.678920369,-0.622734054,0.666803797
3,-0.239966059,-0.223356246,0.073103623,0.677736333,-0.550424544,0.665362197
4,-0.217010086,-0.199596617,0.133225996,0.673389508,-0.47096212,0.659877337
5,-0.184645916,-0.169871041,0.211884607,0.675524426,-0.389385926,0.651966318
6,-0.149734125,-0.135372113,0.30088915,0.685879787,-0.310195132,0.643968716
7,-0.112282004,-0.097104122,0.391366168,0.702584891,-0.238425855,0.63986096
8,-0.074227552,-0.055813744,0.471819657,0.724480944,-0.176739564,0.639104166
9,-0.036761632,-0.011451542,0.545490312,0.752344852,-0.125071575,0.639825527
10,0.002401315,0.035076834,0.605552363,0.777536667,-0.082974136,0.640999005
11,0.041171517,0.095325694,0.653803248,0.798231661,-0.050254951,0.642830891
12,0.078909323,0.167449224,0.692855953,0.818090716,-0.022430634,0.645949384
13,0.119323305,0.241904108,0.726402037,0.834089009,0.001428863,0.65112839
14,0.16207381,0.323211043,0.755516854,0.85031596,0.022140514,0.658457682
15,0.202595779,0.400823389,0.778107295,0.866714975,0.039255123,0.669372531
16,0.23928435,0.47319286,0.7955517,0.877913141,0.056189134,0.682692851
17,0.278568713,0.532320002,0.811654599,0.88551565,0.070869936,0.694460577
18,0.319185104,0.575912451,0.824902561,0.894517239,0.086318549,0.704051639
19,0.355445225,0.613043046,0.836860718,0.901937722,0.098964888,0.712276767
20,0.387379304,0.643309664,0.846414225,0.903883187,0.111907822,0.7189638
21,0.424797883,0.666416062,0.856156764,0.912701241,0.124613221,0.722929942
22,0.454975041,0.686746359,0.867494361,0.91521382,0.137800383,0.725561614
23,0.48348407,0.703041044,0.873883403,0.916131227,0.147220194,0.727984178
24,0.513467184,0.719201014,0.879195122,0.919425946,0.157358307,0.731044737
25,0.538621103,0.738731685,0.884317924,0.922769128,0.165293872,0.732931749
26,0.566811511,0.755369576,0.890096536,0.925271073,0.174113592,0.733578384
27,0.58677288,0.76864035,0.89603569,0.929261424,0.185875141,0.735323611
28,0.611293456,0.780358557,0.895014019,0.929056997,0.194656152,0.736313515
29,0.6284223,0.789544783,0.897654532,0.934305563,0.201122427,0.738324581
30,0.646167668,0.801350159,0.899809215,0.935362347,0.211649799,0.739653436
31,0.664176815,0.809422315,0.901058613,0.935351926,0.21870017,0.740906435
32,0.675129242,0.817376891,0.90305378,0.93543258,0.227097158,0.74265928
33,0.690384013,0.823720767,0.903901367,0.934880464,0.234519902,0.743871671
34,0.706674577,0.833177362,0.90840166,0.937798097,0.240638027,0.745477469
35,0.719151253,0.840663648,0.912938947,0.939772997,0.248863877,0.746685524
36,0.731898244,0.848765921,0.916415998,0.942156535,0.257749506,0.747616067
37,0.745499244,0.853057361,0.918033788,0.941313393,0.264576335,0.749101695
38,0.754204847,0.859770741,0.919010811,0.937369857,0.272566223,0.751222401
39,0.762596768,0.864344408,0.918000519,0.937505619,0.281300717,0.752451994
40,0.772723545,0.869081193,0.918936379,0.939681874,0.287667275,0.755195834
41,0.78048075,0.871655484,0.922200616,0.942547669,0.297404305,0.75854636
42,0.79231071,0.872739412,0.921402297,0.940279882,0.302774294,0.761459547
43,0.799874659,0.877454486,0.924356577,0.940621541,0.311972177,0.764465814
44,0.808551526,0.883387969,0.929434933,0.939735839,0.323648849,0.766235912
45,0.814162614,0.887654898,0.931812245,0.943599983,0.329968244,0.769069935
46,0.820146987,0.890487537,0.93250081,0.943852679,0.338150083,0.772786352
47,0.826579543,0.893211141,0.929336651,0.943908448,0.346530988,0.775930954
48,0.831611317,0.895787247,0.929563615,0.94248204,0.35477903,0.778830853
49,0.832919598,0.899866438,0.931278089,0.943874858,0.365433778,0.781883489
50,0.841586433,0.899789085,0.930297111,0.943064382,0.371607378,0.783081258
51,0.843498894,0.901947595,0.932175117,0.944941739,0.379375457,0.785470857
52,0.848814128,0.902460462,0.933239342,0.943431129,0.382562958,0.787572659
53,0.853078998,0.905172464,0.93460852,0.941476254,0.389017538,0.789850317
54,0.855016849,0.90414881,0.931288144,0.941339522,0.39573533,0.791840901
55,0.86031614,0.90924015,0.929806875,0.940789799,0.404071778,0.794129333
56,0.862424706,0.912181054,0.931226673,0.939507067,0.406031216,0.795758044
57,0.866522323,0.91638901,0.934318954,0.942393044,0.415465502,0.797245394
58,0.869439222,0.916380929,0.932153353,0.944887946,0.424480089,0.798974161
59,0.872362768,0.917440609,0.933893139,0.946137872,0.431485087,0.801806862
60,0.87796494,0.920860362,0.935727047,0.946687409,0.436270402,0.804181236
61,0.880814902,0.92035592,0.936111611,0.948972675,0.442491373,0.805220149
62,0.88191659,0.924514132,0.938181712,0.947153885,0.449757172,0.806436216
63,0.883953232,0.925450994,0.938040457,0.946650766,0.451922429,0.806853023
64,0.887543163,0.924187745,0.935855747,0.9489008,0.458380394,0.808841784
65,0.889427954,0.922299266,0.937708644,0.951245079,0.464137493,0.809670903
66,0.887699868,0.925876447,0.937933644,0.950901086,0.469172085,0.812168281
67,0.88954956,0.926299901,0.94051154,0.949154827,0.475384398,0.813625782
68,0.890533387,0.926404213,0.939375995,0.949580384,0.479077068,0.81481211
69,0.893470703,0.925170952,0.937529199,0.947020791,0.484451563,0.815509765
70,0.897727316,0.927546222,0.935104961,0.946864775,0.488040722,0.816844311
71,0.89777108,0.924785445,0.940377172,0.947587896,0.492127626,0.818789091
72,0.897242239,0.922201923,0.941768312,0.946322637,0.496471734,0.820779695
73,0.902112205,0.924682476,0.940011984,0.944055473,0.501019061,0.82241232
74,0.905661152,0.925518346,0.940113611,0.946209896,0.50463641,0.823497685
75,0.90843808,0.928597248,0.938983551,0.946943736,0.505669639,0.825859934
76,0.908860561,0.929754517,0.936818196,0.946897513,0.510025032,0.826626132
77,0.908114414,0.931303177,0.937220347,0.950988609,0.513351841,0.827269606
78,0.907635946,0.929344477,0.937935467,0.950117304,0.518091474,0.828681786
79,0.910306759,0.932406821,0.939853512,0.950746418,0.520962049,0.82995578
80,0.910400668,0.934326256,0.94006526,0.951852167,0.527863723,0.832190863
81,0.911416439,0.930828201,0.939504234,0.947268999,0.526985504,0.832746369
82,0.911801899,0.931170869,0.944128963,0.947426989,0.534630384,0.833669045
83,0.91191105,0.930785992,0.94480122,0.946215268,0.536316808,0.835815082
84,0.913358473,0.932836906,0.940877311,0.949932179,0.535453297,0.837330323
